StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q0b,Q1a,Q1b,Q1b_5_TEXT,Q1b_5_OTHER_CAT,Q1c,Q1c_4_TEXT,Q1c_4_OTHER_CAT,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q2_15,Q2_16,Q2_17,Q2_18,Q2_19,Q2_20,Q2_21,Q2_22,Q2_23,Q3a_1,Q3b,Q3c_1,Q3d,Q4a,Q4a_4_TEXT,Q4a_4_Category,Q4b,Q4b_4_TEXT,Q4b_4_Category,Q4c,Q5a,Q5a_7_TEXT,Q5b,Q5b_4_TEXT,Q5c,Q5d,Q5e,Q5f,Q6 - REDACTED,Q4b_4_TEXT - Topics
3/28/18 17:50,3/28/18 18:00,IP Address,100,627,TRUE,3/28/18 18:00,R_2AHHAorIAjHa62a,anonymous,EN,I consent to participate in this survey,It's unclear whether decision-makers should fund Drug X current prices.,Other,"The ICER found would normally mean that Drug X is cost-effective.  Given the size of the financial burden, it is unclear how many other treatments would be displaced and what the impact of this displacement is on the cost-effectiveness threshold.  Whilst probably cost-effective in the (unfunded) status quo, there is a danger that, once funded, it would no longer appear cost-effective.",Need special decision process given high budget impact,Other,Do not  fund at present.  Investigate what will be displaced and consider (even loosely) the likely cost-effectiveness across these treatments.,Do not fund (put in main category),Like,Like,Neutral,Neutral,Neutral,Neutral,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect the current budget, i.e. be explicitly derived from funding interventions in order of cost-effectiveness until budget is exhausted.",Completely agree with the option I chose,"If a program is cost-effective but not affordable, this typically means that policymakers should decrease the willingness to pay threshold.",Completely agree with the option I chose,Other,There is little justification for explicitly linking GDP to the threshold.,None/Other,It is approximately the true WTP according to the current budget.,,Budget WTP,High-income countries,Professor,,Male,,40-60,10+,5+,High-income countries,,
3/27/18 14:05,3/27/18 14:22,IP Address,100,1018,TRUE,3/27/18 14:22,R_33vejc5KWqt0ssk,anonymous,EN,I consent to participate in this survey,It's unclear whether decision-makers should fund Drug X current prices.,"Drug X is cost-effective, but policymakers would have to to reallocate funding from existing programs to pay for the drug.",,,Other,"Drug X is deemed ""cost-effective"" compared to some unspecified alternative (probably the current standard treatment) at the given WTP threshold. But the consequence of funding it for whatever percentage of eligible population is unclear (maybe we would have to give up funding some other interventions with even ""better"" ICER).",(Other) Use shopping spree on Medicaid budget,Like,Like,Like,Neutral,Like,Like,Neutral,Dislike,Like,Neutral,Dislike,Dislike,Neutral,Dislike,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect societal willingness to pay, even if this would result in substantial increases or decreases to the current health budget",Felt conflicted but had a clear preference,"If a program is cost-effective but not affordable, this typically means that policymakers should decrease the willingness to pay threshold.",Felt conflicted but had a clear preference,Other,"Commonly cited threshold for the given country (e.g., USD 100,000/QALY in the US)",2x GDP,It is the convention in the literature.,,Convention,High-income countries,Professor,,Male,,25-40,5-Jan,2-Jan,High-income countries,,
3/27/18 18:45,3/27/18 19:18,IP Address,100,2009,TRUE,3/27/18 19:18,R_1ohyKxQ1VZBJB3T,anonymous,EN,I consent to participate in this survey,It's unclear whether decision-makers should fund Drug X current prices.,"Drug X is cost-effective, but policymakers would have to to reallocate funding from existing programs to pay for the drug.",,,Other,Evaluate what currently available treatments would have to be curtailed to fund drug x and how many qalys would be lost. Compare benefits of funding x at alternative levels with foregone benefits. Also investigate potential for increasing budget.,(Other) Use shopping spree on Medicaid budget,Like,Like,Like,Like,Like,Like,Like,Like,Neutral,Neutral,Neutral,Neutral,Dislike,Dislike,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect societal willingness to pay, even if this would result in substantial increases or decreases to the current health budget",Felt conflicted but had a clear preference,"If a program is cost-effective but not affordable, this typically means that policymakers should increase the budget.",Felt conflicted but had a clear preference,Other,Did not apply a standard.,None/Other,Other,NA,,High-income countries,Professor,,Male,,60+,10+,5+,A combination of both,,Unknown
4/4/18 7:31,4/4/18 7:34,IP Address,100,201,TRUE,4/4/18 7:34,R_2dRbQ1FZDC96oyh,anonymous,EN,I consent to participate in this survey,It's unclear whether decision-makers should fund Drug X current prices.,Other,Full budget impact assessment required,Need special decision process given high budget impact,Other,"Fund drug for subsection of population, explore heterogeneity to see where most cost-effective to reduce budget impact",(Other) Identify subpopulations that would benefit most,Like,Like,Like,Dislike,Like,Like,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect the current budget, i.e. be explicitly derived from funding interventions in order of cost-effectiveness until budget is exhausted.",Felt conflicted but had a clear preference,"If a program is cost-effective but not affordable, this typically means that policymakers should decrease the willingness to pay threshold.",Completely agree with the option I chose,Other,Woods et al thresholds,Empirical,Other,GDP meaningless for op costs of health. Rather have a more meaningful but uncertain measure,None/Other,Low- and middle-income countries,Post-doc/Research scientist,,Male,,25-40,5-Jan,2-Jan,Low- and middle-income countries,,
3/27/18 13:21,3/27/18 13:31,IP Address,100,583,TRUE,3/27/18 13:31,R_1ruGqsDNPn5yCHt,anonymous,EN,I consent to participate in this survey,It's unclear whether decision-makers should fund Drug X current prices.,"Drug X is cost-effective, but policymakers would have to to reallocate funding from existing programs to pay for the drug.",,,Other,Fund drug x for eligible patients who would benefit most (not chosen at random),(Other) Identify subpopulations that would benefit most,Like,Like,Neutral,Neutral,Like,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dislike,Neutral,Neutral,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect societal willingness to pay, even if this would result in substantial increases or decreases to the current health budget",Felt conflicted but had a clear preference,"If a program is cost-effective but not affordable, this typically means that policymakers should decrease the willingness to pay threshold.",Felt nearly equal about both answer choices,I have never contributed to a cost-effectiveness analysis.,,,,,,,Post-doc/Research scientist,,Female,,25-40,<1,0,High-income countries,,
3/29/18 3:00,3/29/18 3:13,IP Address,100,808,TRUE,3/29/18 3:13,R_YWujCPCNwqIbm1z,anonymous,EN,I consent to participate in this survey,"In general, decision-makers should fund Drug X at current prices.",,,,Other,"Fund Drug X for people with greatest immediate need. Delay treatment for those who can wait, while the market develops.",(Other) Identify subpopulations that would benefit most,Like,Like,Neutral,Neutral,Like,Neutral,Neutral,Neutral,Neutral,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect societal willingness to pay, even if this would result in substantial increases or decreases to the current health budget",Felt nearly equal about both answer choices,"If a program is cost-effective but not affordable, this typically means that policymakers should increase the budget.",Felt nearly equal about both answer choices,Other,"Â£20,000",Institutional,"It is the convention in the literature.,Other",NICE-recommended,Convention,High-income countries,Post-doc/Research scientist,,Male,,25-40,10-May,5+,High-income countries,,
4/2/18 12:32,4/2/18 12:40,IP Address,100,503,TRUE,4/2/18 12:40,R_1I5AtDV0x5Cr91A,anonymous,EN,I consent to participate in this survey,It's unclear whether decision-makers should fund Drug X current prices.,"Drug X is cost-effective, but policymakers would have to to reallocate funding from existing programs to pay for the drug.",,,Other,"Fund Drug X for some high-priority fraction of the eligible population, wait for lower price to fund entire eligible population.",(Other) Identify subpopulations that would benefit most,Like,Like,Neutral,Neutral,Like,Like,Neutral,Neutral,Neutral,Neutral,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect societal willingness to pay, even if this would result in substantial increases or decreases to the current health budget",Felt conflicted but had a clear preference,"If a program is cost-effective but not affordable, this typically means that policymakers should increase the budget.",Felt conflicted but had a clear preference,3x GDP,,,"It is the convention in the literature.,It is approximately the true societal WTP.",,Societal WTP,Low- and middle-income countries,Post-doc/Research scientist,,Female,,25-40,10-May,5+,A combination of both,,
3/29/18 8:51,3/29/18 11:41,IP Address,100,10245,TRUE,3/29/18 11:41,R_29s47siknn8JbUQ,anonymous,EN,I consent to participate in this survey,It's unclear whether decision-makers should fund Drug X current prices.,Other,"Drug X is cost-effective, but policymakers need to reallocate a considerable percentage (20%) of the budget for the new drug. ",Need special decision process given high budget impact,Other,Fund Drug X under a managed entry agreement.,(Other) Negotiate price/Novel payment mechanisms,Like,Like,Like,Like,Like,Like,Like,Like,Like,Neutral,Neutral,Neutral,Like,Dislike,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect societal willingness to pay, even if this would result in substantial increases or decreases to the current health budget",Felt conflicted but had a clear preference,"If a program is cost-effective but not affordable, this typically means that policymakers should increase the budget.",Felt conflicted but had a clear preference,"1x GDP,3x GDP",,,It is approximately the true WTP according to the current budget.,,Budget WTP,Low- and middle-income countries,Industry,,Female,,25-40,5-Jan,5+,A combination of both,,
4/8/18 10:59,4/8/18 11:13,IP Address,100,815,TRUE,4/8/18 11:13,R_3drLKhJtGwHjKDv,anonymous,EN,I consent to participate in this survey,It's unclear whether decision-makers should fund Drug X current prices.,"Drug X is cost-effective, but policymakers would have to to reallocate funding from existing programs to pay for the drug.",,,Other,Fund drug X with a certain copay for all,(Other) Negotiate price/Novel payment mechanisms,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Dislike,Dislike,Dislike,Like,Dislike,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect the current budget, i.e. be explicitly derived from funding interventions in order of cost-effectiveness until budget is exhausted.",Felt conflicted but had a clear preference,"If a program is cost-effective but not affordable, this typically means that policymakers should decrease the willingness to pay threshold.",Felt nearly equal about both answer choices,I have never contributed to a cost-effectiveness analysis.,,,,,,,Master's Student,,Male,,<25,5-Jan,0,High-income countries,,
3/29/18 4:52,3/29/18 7:06,IP Address,100,8067,TRUE,3/29/18 7:06,R_1C90wnEPcXaJxBL,anonymous,EN,I consent to participate in this survey,It's unclear whether decision-makers should fund Drug X current prices.,Other,"Insufficient information on uncertainty, also strong likelihood that that much spend that far below the upper threshold would influence the threshold itself, and no information given on this",Need special decision process given high budget impact,Other,Fund in research only (probably - if the model was unequivocal then maybe fund in all patients),Other,Like,Like,Neutral,Neutral,Like,Like,Neutral,Neutral,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect the current budget, i.e. be explicitly derived from funding interventions in order of cost-effectiveness until budget is exhausted.",Completely agree with the option I chose,"If a program is cost-effective but not affordable, this typically means that policymakers should decrease the willingness to pay threshold.",Felt conflicted but had a clear preference,Other,Â£20k-Â£30k / QALY (I work for NICE),Institutional,It is the convention in the literature.,,Convention,High-income countries,Government,,Male,,25-40,10-May,5+,High-income countries,,
4/12/18 3:13,4/12/18 3:30,IP Address,100,1030,TRUE,4/12/18 3:30,R_3GxPrxwUyxIQbHc,anonymous,EN,I consent to participate in this survey,"In general, decision-makers should fund Drug X at current prices.",,,,Other,Fund the drug for the patients that need it urgently. Wait for a lower price for the rest.,(Other) Identify subpopulations that would benefit most,Like,Like,Like,Like,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect societal willingness to pay, even if this would result in substantial increases or decreases to the current health budget",Completely agree with the option I chose,"If a program is cost-effective but not affordable, this typically means that policymakers should increase the budget.",Completely agree with the option I chose,Other,"The consensus of experts in Spain: 30,000 â‚¬/QALY",Institutional,It is the convention in the literature.,,Convention,High-income countries,Post-doc/Research scientist,,Male,,40-60,10-May,5-Mar,High-income countries,,
3/29/18 0:05,3/29/18 0:12,IP Address,100,415,TRUE,3/29/18 0:12,R_URx978LWdK8XDUd,anonymous,EN,I consent to participate in this survey,It's unclear whether decision-makers should fund Drug X current prices.,"Drug X is cost-effective, but policymakers would have to to reallocate funding from existing programs to pay for the drug.",,,Other,Further analysis to identify what sub population might benefit most and which other programmes to disinvest.,(Other) Identify subpopulations that would benefit most,Like,Like,Like,Like,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dislike,"In the academic literature, the willingness to pay threshold should reflect societal willingness to pay, even if this would result in substantial increases or decreases to the current health budget",Completely agree with the option I chose,"If a program is cost-effective but not affordable, this typically means that policymakers should decrease the willingness to pay threshold.",Felt conflicted but had a clear preference,Other,UK NICE threshold,Institutional,Other,Following guidelines,Convention,High-income countries,Post-doc/Research scientist,,Female,,25-40,10-May,5+,High-income countries,,
3/27/18 16:18,3/27/18 16:27,IP Address,100,499,TRUE,3/27/18 16:27,R_DNUzYq1Mt9F3LoZ,anonymous,EN,I consent to participate in this survey,It's unclear whether decision-makers should fund Drug X current prices.,Other,"Cost-effectiveness analysis is a useful tool, but not the only factor that should be considered in decision making",Cost-effectiveness is incomplete information,Other,"Hold a series of town hall meetings to discuss the new drug in relation to currently funded alternatives, get feedback from those impacted on factors of greatest importance, provide educational materials to inform all registered voters on how drugs compare across key dimensions, add as referendum item in upcoming election",Other,Like,Like,Neutral,Neutral,Like,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect the current budget, i.e. be explicitly derived from funding interventions in order of cost-effectiveness until budget is exhausted.",Completely agree with the option I chose,"If a program is cost-effective but not affordable, this typically means that policymakers should decrease the willingness to pay threshold.",Felt conflicted but had a clear preference,Other,150K/QALY,3x GDP,Other,Highest value that has been discussed in the literature,Convention,High-income countries,Industry,,Male,,25-40,10+,5+,High-income countries,,Unknown
3/28/18 14:23,3/28/18 14:31,IP Address,100,450,TRUE,3/28/18 14:31,R_ABytc6jUM4fwfId,anonymous,EN,I consent to participate in this survey,It's unclear whether decision-makers should fund Drug X current prices.,"Drug X is cost-effective, but policymakers would have to to reallocate funding from existing programs to pay for the drug.",,,Other,"I like the focused funding option, but I would not fund it randomly.  I would look to target the drug to the group for whom it works best.",(Other) Identify subpopulations that would benefit most,Like,Like,Like,Dislike,Like,Like,Dislike,Dislike,Like,Dislike,Dislike,Dislike,Like,Dislike,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect the current budget, i.e. be explicitly derived from funding interventions in order of cost-effectiveness until budget is exhausted.",Felt nearly equal about both answer choices,"If a program is cost-effective but not affordable, this typically means that policymakers should decrease the willingness to pay threshold.",Completely agree with the option I chose,Other,I let the WTP vary as a 1 way sensitivty analysis so the decsion maker could decide on the decision maker's WTP,None/Other,Other,It is not the analyst's job to tell the decision maker what to do given the decision maker's budget and the decision maker's context.,None/Other,High-income countries,Professor,,Male,,40-60,10+,5+,High-income countries,,Unknown
3/27/18 13:55,3/27/18 14:04,IP Address,100,546,TRUE,3/27/18 14:04,R_2cinA9TaHlmbk70,anonymous,EN,I consent to participate in this survey,"In general, decision-makers should fund Drug X at current prices.",,,,Other,Identify subgroups with greater anticipated benefits (restrictive indications),(Other) Identify subpopulations that would benefit most,Like,Like,Like,Like,Like,Like,Neutral,Neutral,Like,Neutral,Neutral,Dislike,Dislike,Dislike,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect the current budget, i.e. be explicitly derived from funding interventions in order of cost-effectiveness until budget is exhausted.",Felt nearly equal about both answer choices,"If a program is cost-effective but not affordable, this typically means that policymakers should decrease the willingness to pay threshold.",Felt nearly equal about both answer choices,Other,"$100,000/QALY",2x GDP,It is the convention in the literature.,,Convention,High-income countries,Professor,,Male,,25-40,10-May,5+,A combination of both,,
3/28/18 16:42,3/28/18 16:58,IP Address,100,940,TRUE,3/28/18 16:58,R_1d7hiK478cLCV4Y,anonymous,EN,I consent to participate in this survey,It's unclear whether decision-makers should fund Drug X current prices.,Other,The problem isn't clear. It looks like supplying this drug to the entire population would cost 20% of the total cost of health care to a subpopulation (Medicaide pts). I've long argued that we don't take budget constraints into account properly when conduction C/E thresholds and it seems you are now exploring this area.,Need special decision process given high budget impact,Other,"If this drug has a C/E ratio of $40k/QALY and uses 20% of the medical expenses then either it must provide benefit to a significant benefit for a large number of people, the budget is very small and unrealistic for a large threshold, or a combination of both. C/E ratios do not work well when something takes up a large portion of the total budget. When that happens you need to start looking at effectiveness cost differences which can rapidly become complex (i.e. knapsack problem).",Other,Like,Like,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,"In the academic literature, the willingness to pay threshold should reflect societal willingness to pay, even if this would result in substantial increases or decreases to the current health budget",Felt nearly equal about both answer choices,"If a program is cost-effective but not affordable, this typically means that policymakers should decrease the willingness to pay threshold.",Felt nearly equal about both answer choices,Other,"Threshold was set by government (UK) according to political whim, not necessarily a choice based on GDP",Institutional,Other,Prescribed by government.,Convention,High-income countries,Other,retired,Male,,60+,10+,5+,High-income countries,,
